Domain,Average Sentiment,Top Keywords (Frequency),Total Responses
Technology,0.36,"{'update': 45, 'performance': 50, 'bug': 85}",108
Government,0.56,"{'taxation': 95, 'public services': 67, 'security': 41}",138
Fashion,0.07,"{'brands': 67, 'retail': 37, 'designers': 59}",67
Energy,0.48,"{'solar': 49, 'electricity': 81, 'wind': 59}",69
Government,0.65,"{'budget': 82, 'public services': 75, 'regulations': 28}",50
Real Estate,0.13,"{'construction': 23, 'availability': 65, 'investment': 24}",169
Food & Beverage,0.49,"{'delivery': 49, 'fast food': 51, 'recipes': 25}",106
Gaming,0.47,"{'console': 97, 'esports': 93, 'PC': 42}",47
Real Estate,0.12,"{'construction': 36, 'amenities': 70, 'rent': 98}",86
Agriculture,0.55,"{'irrigation': 21, 'harvest': 24, 'crops': 43}",50
Security,0.11,"{'authentication': 61, 'malware': 45, 'biometrics': 64}",185
Food & Beverage,0.63,"{'health': 78, 'fast food': 49, 'recipes': 28}",41
Agriculture,0.58,"{'crops': 20, 'soil quality': 92, 'livestock': 95}",159
Real Estate,0.14,"{'construction': 50, 'mortgage': 74, 'property tax': 33}",83
Education,0.44,"{'students': 25, 'interface': 70, 'teachers': 54}",43
Entertainment,0.19,"{'box office': 24, 'concerts': 35, 'subscriptions': 47}",41
Technology,0.44,"{'update': 38, 'AI': 51, 'design': 31}",44
Retail,0.54,"{'promotions': 58, 'customer service': 28, 'availability': 52}",85
Telecommunications,0.39,"{'infrastructure': 53, 'network': 77, 'billing': 78}",62
Pharmaceuticals,0.59,"{'prescriptions': 61, 'drug development': 97, 'research': 68}",57
Energy,0.47,"{'solar': 30, 'gas': 52, 'power grid': 81}",85
Gaming,0.32,"{'updates': 62, 'console': 68, 'storyline': 90}",41
Healthcare,0.84,"{'challenges': 30, 'patient care': 83, 'insurance': 72}",161
Hospitality,0.45,"{'service': 75, 'hotels': 82, 'luxury': 79}",154
Real Estate,0.44,"{'property tax': 34, 'rent': 60, 'construction': 33}",38
Pharmaceuticals,0.29,"{'biotechnology': 99, 'FDA': 65, 'medications': 39}",47
Technology,0.03,"{'cloud': 37, 'AI': 92, 'cybersecurity': 73}",133
Gaming,0.64,"{'mobile': 90, 'updates': 22, 'storyline': 36}",136
Government,0.87,"{'security': 32, 'regulations': 22, 'policy': 35}",114
Automobile,0.94,"{'fuel efficiency': 54, 'insurance': 54, 'repairs': 42}",78
Retail,0.67,"{'discount': 79, 'returns': 22, 'pricing': 96}",155
Real Estate,0.77,"{'investment': 89, 'location': 27, 'amenities': 44}",77
Pharmaceuticals,0.06,"{'healthcare': 38, 'research': 50, 'side effects': 80}",173
Education,0.24,"{'exams': 84, 'curriculum': 97, 'teachers': 55}",122
Education,0.14,"{'assessment': 70, 'features': 38, 'learning': 38}",136
Education,0.44,"{'platform': 49, 'assessment': 89, 'usability': 92}",134
Finance,0.4,"{'budgeting': 72, 'credit': 40, 'debt': 35}",36
Entertainment,0.85,"{'movies': 76, 'video games': 41, 'music': 31}",134
Aerospace,0.76,"{'satellites': 44, 'missions': 83, 'rockets': 66}",124
Agriculture,0.25,"{'pesticides': 61, 'crops': 68, 'soil quality': 27}",160
Retail,0.77,"{'loyalty programs': 87, 'stock': 68, 'discount': 56}",159
Finance,0.75,"{'savings': 86, 'taxes': 30, 'debt': 99}",115
E-commerce,0.99,"{'checkout': 91, 'customer support': 64, 'inventory': 21}",156
Real Estate,0.74,"{'amenities': 87, 'availability': 79, 'pricing': 37}",181
Energy,0.12,"{'electricity': 42, 'gas': 34, 'wind': 98}",120
Retail,0.85,"{'customer service': 66, 'pricing': 57, 'offers': 95}",138
Energy,0.48,"{'carbon footprint': 78, 'solar': 38, 'oil': 39}",41
Real Estate,0.2,"{'rent': 43, 'amenities': 28, 'construction': 48}",196
Agriculture,0.13,"{'harvest': 100, 'sustainability': 44, 'crops': 23}",85
Entertainment,0.79,"{'awards': 41, 'concerts': 53, 'music': 96}",105
Pharmaceuticals,0.01,"{'side effects': 81, 'prescriptions': 73, 'biotechnology': 27}",59
Government,0.93,"{'healthcare reform': 42, 'security': 49, 'elections': 75}",57
Healthcare,0.67,"{'access': 70, 'medications': 73, 'insurance': 28}",155
Hospitality,0.77,"{'reviews': 91, 'tourism': 96, 'luxury': 64}",131
Automobile,0.8,"{'repairs': 93, 'performance': 84, 'mileage': 89}",146
Agriculture,0.89,"{'sustainability': 69, 'soil quality': 33, 'pesticides': 98}",85
Healthcare,0.79,"{'telehealth': 97, 'access': 29, 'patient care': 46}",176
Pharmaceuticals,0.74,"{'FDA': 25, 'prescriptions': 24, 'research': 53}",100
Healthcare,0.27,"{'patient care': 38, 'treatment': 65, 'access': 50}",104
Retail,0.07,"{'loyalty programs': 32, 'offers': 45, 'customer service': 85}",168
Pharmaceuticals,0.33,"{'vaccines': 44, 'healthcare': 51, 'drug development': 94}",47
Government,0.46,"{'elections': 85, 'taxation': 65, 'policy': 70}",50
Education,0.55,"{'exams': 57, 'usability': 73, 'interface': 78}",145
Technology,0.82,"{'update': 67, 'cybersecurity': 23, 'software': 56}",189
Entertainment,0.01,"{'box office': 92, 'awards': 43, 'music': 89}",165
Hospitality,0.52,"{'luxury': 52, 'service': 52, 'travel': 38}",101
Food & Beverage,0.61,"{'fast food': 39, 'sustainability': 73, 'ingredients': 67}",183
Telecommunications,0.8,"{'infrastructure': 95, 'customer support': 90, 'network': 48}",119
Government,0.84,"{'taxation': 72, 'budget': 38, 'public services': 78}",130
Food & Beverage,0.95,"{'ingredients': 75, 'health': 88, 'restaurants': 39}",45
Finance,0.61,"{'loan': 73, 'budgeting': 62, 'credit': 63}",51
Security,0.65,"{'encryption': 53, 'hacking': 48, 'malware': 74}",73
Energy,0.94,"{'renewable': 52, 'power grid': 38, 'solar': 41}",142
Food & Beverage,1.0,"{'fast food': 55, 'delivery': 60, 'restaurants': 96}",193
Security,0.13,"{'data breaches': 62, 'hacking': 63, 'malware': 37}",48
Agriculture,0.85,"{'fertilizers': 32, 'harvest': 29, 'weather': 57}",98
Technology,0.56,"{'speed': 68, 'cybersecurity': 80, 'performance': 91}",56
Healthcare,0.91,"{'patient care': 39, 'telehealth': 75, 'medications': 76}",150
Fashion,0.14,"{'luxury': 49, 'streetwear': 98, 'accessories': 87}",45
Energy,0.03,"{'gas': 70, 'solar': 32, 'nuclear': 75}",79
Security,0.28,"{'hacking': 72, 'data breaches': 22, 'cyberattacks': 60}",117
Telecommunications,0.4,"{'signal': 78, 'infrastructure': 38, 'ISP': 67}",176
Retail,0.55,"{'promotions': 46, 'offers': 73, 'discount': 100}",94
Automobile,0.81,"{'features': 52, 'fuel efficiency': 84, 'safety': 28}",37
Entertainment,0.9,"{'subscriptions': 37, 'music': 92, 'box office': 87}",41
E-commerce,0.21,"{'service': 87, 'wishlist': 47, 'discounts': 36}",138
Agriculture,0.81,"{'crops': 55, 'pesticides': 40, 'harvest': 61}",106
Food & Beverage,0.36,"{'fast food': 43, 'ingredients': 86, 'delivery': 54}",200
Real Estate,0.96,"{'investment': 70, 'mortgage': 88, 'pricing': 20}",92
Fashion,0.89,"{'streetwear': 51, 'runway': 38, 'brands': 79}",50
Government,0.23,"{'public services': 34, 'taxation': 95, 'laws': 25}",57
Aerospace,0.74,"{'fuel efficiency': 37, 'safety': 87, 'NASA': 87}",67
Telecommunications,0.47,"{'infrastructure': 52, '5G': 85, 'ISP': 45}",58
Gaming,0.24,"{'console': 25, 'updates': 74, 'PC': 43}",106
Automobile,0.47,"{'maintenance': 65, 'design': 36, 'features': 25}",86
E-commerce,0.95,"{'refund': 51, 'delivery': 84, 'tracking': 90}",62
Finance,0.92,"{'insurance': 99, 'interest': 58, 'debt': 54}",125
Aerospace,0.42,"{'satellites': 21, 'missions': 24, 'engineering': 59}",139
Finance,0.79,"{'interest': 41, 'debt': 74, 'credit': 48}",98
Hospitality,0.12,"{'tourism': 25, 'hotels': 80, 'budget': 93}",194
Energy,0.33,"{'nuclear': 65, 'solar': 98, 'power grid': 80}",178
